date,close
2021-07-06,404.629638671875
2021-07-07,406.0596923828125
2021-07-08,402.75115966796875
2021-07-09,407.05035400390625
2021-07-12,408.5084228515625
2021-07-13,407.1157531738281
2021-07-14,407.7233581542969
2021-07-15,406.3306884765625
2021-07-16,403.1436462402344
2021-07-19,397.1900634765625
2021-07-20,402.8819580078125
2021-07-21,406.1437683105469
2021-07-22,406.9942932128906
2021-07-23,411.18145751953125
2021-07-26,412.1908264160156
2021-07-27,410.3122253417969
2021-07-28,410.14398193359375
2021-07-29,411.8450012207031
2021-07-30,409.84490966796875
2021-08-02,408.985107421875
2021-08-03,412.3123779296875
2021-08-04,410.28424072265625
2021-08-05,412.8824462890625
2021-08-06,413.5647277832031
2021-08-09,413.2283020019531
2021-08-10,413.7423095703125
2021-08-11,414.7703857421875
2021-08-12,416.01348876953125
2021-08-13,416.7705383300781
2021-08-16,417.75189208984375
2021-08-17,415.01348876953125
2021-08-18,410.4712219238281
2021-08-19,411.106689453125
2021-08-20,414.37786865234375
2021-08-23,418.0229187011719
2021-08-24,418.6865234375
2021-08-25,419.56512451171875
2021-08-26,417.0882873535156
2021-08-27,420.8175048828125
2021-08-30,422.6680603027344
2021-08-31,422.0418701171875
2021-09-01,422.26611328125
2021-09-02,423.5653076171875
2021-09-03,423.46246337890625
2021-09-07,421.9483642578125
2021-09-08,421.434326171875
2021-09-09,419.6305236816406
2021-09-10,416.3219299316406
2021-09-13,417.3873291015625
2021-09-14,415.1349182128906
2021-09-15,418.6024475097656
2021-09-16,417.9388732910156
2021-09-17,413.86761474609375
2021-09-20,406.96673583984375
2021-09-21,406.58233642578125
2021-09-22,410.54840087890625
2021-09-23,415.5366516113281
2021-09-24,416.2210998535156
2021-09-27,415.0303649902344
2021-09-28,406.66668701171875
2021-09-29,407.35113525390625
2021-09-30,402.37237548828125
2021-10-01,407.1542663574219
2021-10-04,401.903564453125
2021-10-05,406.08538818359375
2021-10-06,407.7731018066406
2021-10-07,411.298583984375
2021-10-08,410.54840087890625
2021-10-11,407.57623291015625
2021-10-12,406.572998046875
2021-10-13,408.0356750488281
2021-10-14,414.8990173339844
2021-10-15,418.0588684082031
2021-10-18,419.2965393066406
2021-10-19,422.5313415527344
2021-10-20,424.1909484863281
2021-10-21,425.29736328125
2021-10-22,424.85662841796875
2021-10-25,427.1350402832031
2021-10-26,427.5195007324219
2021-10-27,425.62542724609375
2021-10-28,429.7322692871094
2021-10-29,430.6042175292969
2021-11-01,431.344970703125
2021-11-02,433.0890197753906
2021-11-03,435.733154296875
2021-11-04,437.7864990234375
2021-11-05,439.30548095703125
2021-11-08,439.6805114746094
2021-11-09,438.2271728515625
2021-11-10,434.7016906738281
2021-11-11,434.84228515625
2021-11-12,438.12396240234375
2021-11-15,438.2740783691406
2021-11-16,440.0086364746094
2021-11-17,438.9397888183594
2021-11-18,440.4305725097656
2021-11-19,439.6429443359375
2021-11-22,438.4053955078125
2021-11-23,438.9866027832031
2021-11-24,440.15875244140625
2021-11-26,430.341796875
2021-11-29,435.62054443359375
2021-11-30,427.14447021484375
2021-12-01,422.40008544921875
2021-12-02,428.8695983886719
2021-12-03,425.137939453125
2021-12-06,430.1729736328125
2021-12-07,439.07098388671875
2021-12-08,440.2336730957031
2021-12-09,437.2613830566406
2021-12-10,441.3775329589844
2021-12-13,437.4676513671875
2021-12-14,434.4579162597656
2021-12-15,441.246337890625
2021-12-16,437.3551330566406
2021-12-17,432.700439453125
2021-12-20,428.09942626953125
2021-12-21,435.7019958496094
2021-12-22,440.0584411621094
2021-12-23,442.7965393066406
2021-12-27,449.06304931640625
2021-12-28,448.69610595703125
2021-12-29,449.27001953125
2021-12-30,448.0280456542969
2021-12-31,446.8989562988281
2022-01-03,449.4864501953125
2022-01-04,449.3359069824219
2022-01-05,440.7076721191406
2022-01-06,440.293701171875
2022-01-07,438.5529479980469
2022-01-10,438.00726318359375
2022-01-11,441.9967956542969
